chunk_bytes	run	total_us	records	chunks	avg_rpc_us	min_rpc_us	max_rpc_us
2000	1	393928	80000	800	492	165	151171
2000	2	270579	80000	800	338	166	36541
2000	3	349774	80000	800	437	184	23447
2000	4	313316	80000	800	391	164	52196
2000	5	300741	80000	800	375	165	62545
2000	6	376419	80000	800	470	171	33340
2000	7	391651	80000	800	489	226	23502
2000	8	289145	80000	800	361	163	53252
2000	9	347375	80000	800	434	167	28351
2000	10	397722	80000	800	497	229	24303
2000	11	365733	80000	800	457	177	22050
2000	12	384415	80000	800	480	221	22686
2000	13	396583	80000	800	495	219	24592
2000	14	262186	80000	800	327	166	25131
2000	15	343813	80000	800	429	157	79391
2000	16	300692	80000	800	375	164	25152
2000	17	378865	80000	800	473	170	22572
2000	18	389871	80000	800	487	201	22382
2000	19	391555	80000	800	489	164	23953
2000	20	287353	80000	800	359	163	22642
2000	21	289195	80000	800	361	155	24944
2000	22	307863	80000	800	384	163	25469
2000	23	378138	80000	800	472	188	23239
2000	24	389855	80000	800	487	198	35216
2000	25	300496	80000	800	375	158	26491
2000	26	310479	80000	800	388	172	23788
2000	27	316713	80000	800	395	160	84200
2000	28	267179	80000	800	333	163	24785
2000	29	287677	80000	800	359	163	24297
2000	30	356004	80000	800	445	168	23587
8000	1	115908	80000	200	579	201	23137
8000	2	91596	80000	200	457	184	22625
8000	3	85277	80000	200	426	168	26978
8000	4	82974	80000	200	414	175	21790
8000	5	81874	80000	200	409	172	21016
8000	6	85015	80000	200	425	176	25277
8000	7	91108	80000	200	455	174	30255
8000	8	85492	80000	200	427	174	24548
8000	9	84073	80000	200	420	170	23059
8000	10	85766	80000	200	428	167	23290
8000	11	82820	80000	200	414	163	21283
8000	12	112797	80000	200	563	172	21811
8000	13	91355	80000	200	456	181	25197
8000	14	89270	80000	200	446	179	25956
8000	15	153148	80000	200	765	168	92230
8000	16	80963	80000	200	404	169	22082
8000	17	85230	80000	200	426	168	24252
8000	18	87222	80000	200	436	183	26869
8000	19	91598	80000	200	457	165	30776
8000	20	85128	80000	200	425	176	21795
8000	21	87353	80000	200	436	185	23481
8000	22	85776	80000	200	428	163	25600
8000	23	84865	80000	200	424	164	23006
8000	24	94376	80000	200	471	173	36156
8000	25	81654	80000	200	408	175	21869
8000	26	81885	80000	200	409	163	21730
8000	27	97799	80000	200	488	177	35273
8000	28	85003	80000	200	425	168	22565
8000	29	86328	80000	200	431	182	25740
8000	30	105447	80000	200	527	155	46642
32000	1	42747	80000	50	854	214	24223
32000	2	40693	80000	50	813	215	23297
32000	3	61045	80000	50	1220	216	43577
32000	4	49890	80000	50	997	178	33119
32000	5	39564	80000	50	791	190	24514
32000	6	36308	80000	50	726	176	21345
32000	7	74927	80000	50	1498	207	59350
32000	8	39784	80000	50	795	203	23315
32000	9	41403	80000	50	828	192	25278
32000	10	37357	80000	50	747	185	21611
32000	11	87426	80000	50	1748	194	71574
32000	12	41174	80000	50	823	204	24217
32000	13	38199	80000	50	763	201	21999
32000	14	39251	80000	50	785	200	22845
32000	15	61250	80000	50	1225	190	45542
32000	16	38914	80000	50	778	214	22255
32000	17	46447	80000	50	928	186	23467
32000	18	38705	80000	50	774	201	21452
32000	19	39181	80000	50	783	206	24382
32000	20	36696	80000	50	733	220	20944
32000	21	39327	80000	50	786	201	22560
32000	22	38789	80000	50	775	197	22696
32000	23	49569	80000	50	991	203	33657
32000	24	47849	80000	50	956	197	31185
32000	25	39979	80000	50	799	203	23862
32000	26	38037	80000	50	760	196	22173
32000	27	52168	80000	50	1043	188	37255
32000	28	57807	80000	50	1156	214	41542
32000	29	38631	80000	50	772	193	22827
32000	30	39316	80000	50	786	208	22815
128000	1	34065	80000	13	2620	260	29843
128000	2	25653	80000	13	1973	231	21186
128000	3	24829	80000	13	1909	264	20330
128000	4	28204	80000	13	2169	262	22632
128000	5	115239	80000	13	8864	248	110788
128000	6	42990	80000	13	3306	228	39040
128000	7	28347	80000	13	2180	300	23966
128000	8	27488	80000	13	2114	257	22636
128000	9	101039	80000	13	7772	289	96590
128000	10	27202	80000	13	2092	219	23487
128000	11	28018	80000	13	2155	316	23244
128000	12	36924	80000	13	2840	277	31765
128000	13	106363	80000	13	8181	251	102012
128000	14	28663	80000	13	2204	291	24304
128000	15	24729	80000	13	1902	208	20900
128000	16	36401	80000	13	2800	260	28061
128000	17	90720	80000	13	6978	212	86638
128000	18	28775	80000	13	2213	229	24677
128000	19	26958	80000	13	2073	245	22726
128000	20	27597	80000	13	2122	247	22612
128000	21	115303	80000	13	8869	226	110897
128000	22	27078	80000	13	2082	221	21953
128000	23	23458	80000	13	1804	249	19512
128000	24	29281	80000	13	2252	261	24703
128000	25	117930	80000	13	9071	270	113591
128000	26	25881	80000	13	1990	225	21619
128000	27	26266	80000	13	2020	307	21618
128000	28	25380	80000	13	1952	326	20696
128000	29	117557	80000	13	9042	256	113302
128000	30	26123	80000	13	2009	293	21469
512000	1	23185	80000	4	5796	400	21457
512000	2	24722	80000	4	6180	435	22773
512000	3	119141	80000	4	29785	395	111172
512000	4	23609	80000	4	5902	342	22105
512000	5	23126	80000	4	5781	371	21763
512000	6	22604	80000	4	5651	370	20764
512000	7	131797	80000	4	32949	456	130184
512000	8	26326	80000	4	6581	385	24721
512000	9	33586	80000	4	8396	403	32017
512000	10	27590	80000	4	6897	311	26360
512000	11	78450	80000	4	19612	450	76844
512000	12	31715	80000	4	7928	491	29043
512000	13	24266	80000	4	6066	400	22853
512000	14	22842	80000	4	5710	429	20882
512000	15	80196	80000	4	20049	356	78504
512000	16	24010	80000	4	6002	425	22404
512000	17	24974	80000	4	6243	416	23448
512000	18	30619	80000	4	7654	384	29171
512000	19	99475	80000	4	24868	376	97936
512000	20	26975	80000	4	6743	364	25458
512000	21	29432	80000	4	7358	338	27904
512000	22	25809	80000	4	6452	346	24236
512000	23	111761	80000	4	27940	385	110302
512000	24	23438	80000	4	5859	467	21718
512000	25	22612	80000	4	5653	517	20927
512000	26	23817	80000	4	5954	429	21959
512000	27	110104	80000	4	27526	395	108705
512000	28	24236	80000	4	6059	434	22663
512000	29	25197	80000	4	6299	366	23729
512000	30	25756	80000	4	6439	361	24334
