chunk_bytes	run	total_us	records	chunks	avg_rpc_us	min_rpc_us	max_rpc_us
2000	1	391898	80000	800	489	231	19252
2000	2	387742	80000	800	484	223	7392
2000	3	489638	80000	800	612	298	8357
8000	1	98214	80000	200	491	271	8188
8000	2	99066	80000	200	495	219	7482
8000	3	103541	80000	200	517	267	9169
32000	1	31397	80000	50	627	338	6828
32000	2	31892	80000	50	637	349	6683
32000	3	31447	80000	50	628	335	7085
128000	1	14912	80000	13	1147	450	7877
128000	2	14046	80000	13	1080	513	6504
128000	3	29381	80000	13	2260	675	11862
512000	1	8848	80000	4	2212	334	6738
512000	2	8673	80000	4	2168	454	6698
512000	3	9699	80000	4	2424	398	7119
